"week_start","hospital","region","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week"
2023-02-13,Our Lady's Hospital Navan,HSE Dublin and North East,18,0,18,86,31,0,0,7
2023-02-13,St Luke's General Hospital Kilkenny,HSE Dublin and South East,57,8,65,90,77,19,0,7
2023-02-13,St. Vincent's University Hospital,HSE Dublin and South East,180,0,180,137,273,40,0,7
2023-02-13,Tipperary University Hospital,HSE Dublin and South East,63,0,63,80,58,13,0,7
2023-02-13,UH Waterford,HSE Dublin and South East,0,0,0,395,249,0,0,7
2023-02-13,Wexford General Hospital,HSE Dublin and South East,43,54,97,82,55,30,0,7
2023-02-13,UH Limerick,HSE Mid West,139,162,301,296,116,30,0,7
2023-02-13,Cork University Hospital,HSE South West,163,46,209,164,329,8,0,7
2023-02-13,Mercy University Hospital,HSE South West,110,0,110,52,164,29,0,7
2023-02-13,UH Kerry,HSE South West,118,0,118,35,97,30,0,7
2023-02-13,Galway University Hospital,HSE West and North West,158,46,204,91,147,45,0,7
2023-02-13,Letterkenny University Hospital,HSE West and North West,114,25,139,24,78,30,0,7
2023-02-13,Mayo University Hospital,HSE West and North West,65,52,117,20,72,45,0,7
2023-02-13,Portiuncula University Hospital,HSE West and North West,39,5,44,46,53,3,0,7
2023-02-13,Sligo University Hospital,HSE West and North West,23,65,88,44,62,42,0,7
2023-02-20,CHI at Crumlin,HSE Dublin and Midlands,56,0,56,0,14,3,0,7
2023-02-20,CHI at Tallaght,HSE Dublin and Midlands,29,0,29,6,0,0,0,7
2023-02-20,CHI at Temple Street,HSE Dublin and Midlands,41,5,46,0,21,4,0,7
2023-02-20,MRH Mullingar,HSE Dublin and Midlands,47,0,47,3,0,0,0,7
2023-02-20,MRH Portlaoise,HSE Dublin and Midlands,24,0,24,0,59,2,0,7
2023-02-20,MRH Tullamore,HSE Dublin and Midlands,0,0,0,48,22,0,0,7
2023-02-20,Naas General Hospital,HSE Dublin and Midlands,90,26,116,29,90,11,0,7
2023-02-20,St. James's Hospital,HSE Dublin and Midlands,172,0,172,6,446,14,0,7
2023-02-20,Tallaght University Hospital,HSE Dublin and Midlands,175,0,175,28,326,49,0,7
2023-02-20,Beaumont Hospital,HSE Dublin and North East,90,0,90,0,98,0,0,7
2023-02-20,Cavan General Hospital,HSE Dublin and North East,44,0,44,34,31,4,0,7
2023-02-20,Connolly Hospital,HSE Dublin and North East,0,0,0,79,50,0,0,7
2023-02-20,Mater Misericordiae University Hospital,HSE Dublin and North East,177,0,177,0,277,15,0,7
2023-02-20,Our Lady of Lourdes Hospital,HSE Dublin and North East,77,5,82,107,194,0,0,7
2023-02-20,Our Lady's Hospital Navan,HSE Dublin and North East,18,0,18,74,28,0,0,7
2023-02-20,St Luke's General Hospital Kilkenny,HSE Dublin and South East,39,7,46,56,78,7,0,7
2023-02-20,St. Vincent's University Hospital,HSE Dublin and South East,173,0,173,91,292,45,0,7
2023-02-20,Tipperary University Hospital,HSE Dublin and South East,55,0,55,76,51,16,0,7
2023-02-20,UH Waterford,HSE Dublin and South East,0,0,0,244,233,0,0,7
2023-02-20,Wexford General Hospital,HSE Dublin and South East,48,28,76,43,45,12,0,7
2023-02-20,UH Limerick,HSE Mid West,153,170,323,302,141,44,0,7
2023-02-20,Cork University Hospital,HSE South West,182,82,264,165,385,32,0,7
2023-02-20,Mercy University Hospital,HSE South West,59,0,59,36,113,3,0,7
2023-02-20,UH Kerry,HSE South West,111,0,111,54,111,28,0,7
2023-02-20,Galway University Hospital,HSE West and North West,188,70,258,136,166,70,0,7
2023-02-20,Letterkenny University Hospital,HSE West and North West,85,17,102,66,101,39,0,7
2023-02-20,Mayo University Hospital,HSE West and North West,75,44,119,47,79,43,0,7
2023-02-20,Portiuncula University Hospital,HSE West and North West,28,0,28,22,52,9,0,7
2023-02-20,Sligo University Hospital,HSE West and North West,55,44,99,48,64,40,0,7
2023-02-27,CHI at Crumlin,HSE Dublin and Midlands,46,0,46,0,14,2,0,7
2023-02-27,CHI at Tallaght,HSE Dublin and Midlands,14,0,14,0,3,0,0,7
2023-02-27,CHI at Temple Street,HSE Dublin and Midlands,30,0,30,4,21,2,0,7
2023-02-27,MRH Mullingar,HSE Dublin and Midlands,36,0,36,0,2,2,0,7
2023-02-27,MRH Portlaoise,HSE Dublin and Midlands,37,0,37,0,56,2,0,7
2023-02-27,MRH Tullamore,HSE Dublin and Midlands,4,0,4,38,28,0,0,7
2023-02-27,Naas General Hospital,HSE Dublin and Midlands,108,22,130,46,87,14,0,7
2023-02-27,St. James's Hospital,HSE Dublin and Midlands,104,0,104,0,496,1,0,7
2023-02-27,Tallaght University Hospital,HSE Dublin and Midlands,200,0,200,46,341,65,0,7
2023-02-27,Beaumont Hospital,HSE Dublin and North East,14,0,14,51,90,0,0,7
2023-02-27,Cavan General Hospital,HSE Dublin and North East,28,0,28,30,33,0,0,7
2023-02-27,Connolly Hospital,HSE Dublin and North East,5,0,5,84,46,0,0,7
2023-02-27,Mater Misericordiae University Hospital,HSE Dublin and North East,211,0,211,0,307,19,0,7
2023-02-27,Our Lady of Lourdes Hospital,HSE Dublin and North East,20,5,25,59,209,0,0,7
2023-02-27,Our Lady's Hospital Navan,HSE Dublin and North East,12,0,12,45,27,0,0,7
2023-02-27,St Luke's General Hospital Kilkenny,HSE Dublin and South East,92,18,110,161,81,33,0,7
2023-02-27,St. Vincent's University Hospital,HSE Dublin and South East,173,0,173,210,301,26,0,7
2023-02-27,Tipperary University Hospital,HSE Dublin and South East,102,0,102,90,55,44,0,7
2023-02-27,UH Waterford,HSE Dublin and South East,0,0,0,195,238,0,0,7
2023-02-27,Wexford General Hospital,HSE Dublin and South East,21,7,28,21,46,2,0,7
2023-02-27,UH Limerick,HSE Mid West,134,179,313,239,177,28,0,7
2023-02-27,Cork University Hospital,HSE South West,156,65,221,154,356,21,0,7
2023-02-27,Mercy University Hospital,HSE South West,42,0,42,40,111,1,0,7
2023-02-27,UH Kerry,HSE South West,108,0,108,38,119,20,0,7
2023-02-27,Galway University Hospital,HSE West and North West,132,49,181,70,212,43,0,7
2023-02-27,Letterkenny University Hospital,HSE West and North West,23,23,46,7,111,11,0,7
2023-02-27,Mayo University Hospital,HSE West and North West,64,64,128,33,76,41,0,7
2023-02-27,Portiuncula University Hospital,HSE West and North West,6,9,15,16,44,2,0,7
2023-02-27,Sligo University Hospital,HSE West and North West,48,69,117,54,62,52,0,7
2023-03-06,CHI at Crumlin,HSE Dublin and Midlands,67,0,67,0,14,4,0,7
2023-03-06,CHI at Tallaght,HSE Dublin and Midlands,24,0,24,1,3,0,0,7
2023-03-06,CHI at Temple Street,HSE Dublin and Midlands,59,0,59,5,17,7,0,7
