,Date,Region,Value
469,2023-03-20,HSE Dublin and North East,0.48016901949486224
470,2023-03-20,HSE Dublin and South East,0.8135163161509762
471,2023-03-20,HSE Mid West,1.5252058422646646
472,2023-03-20,HSE South West,1.0261755786415057
473,2023-03-20,HSE West and North West,1.4611953894678091
474,2023-03-21,HSE Dublin and Midlands,1.3269749888413467
475,2023-03-21,HSE Dublin and North East,0.3875048227502397
476,2023-03-21,HSE Dublin and South East,0.8547070157029244
477,2023-03-21,HSE Mid West,1.6220443084401985
478,2023-03-21,HSE South West,1.2017056118301843
479,2023-03-21,HSE West and North West,1.3953757773296194
480,2023-03-22,HSE Dublin and Midlands,1.0578681729224721
481,2023-03-22,HSE Dublin and North East,0.336960715434991
482,2023-03-22,HSE Dublin and South East,0.8032186412629891
483,2023-03-22,HSE Mid West,1.6220443084401985
484,2023-03-22,HSE South West,0.9991709581509396
485,2023-03-22,HSE West and North West,1.5401789240336365
486,2023-03-23,HSE Dublin and Midlands,1.0207499914164204
487,2023-03-23,HSE Dublin and North East,0.5054410731524865
488,2023-03-23,HSE Dublin and South East,0.762027941711041
489,2023-03-23,HSE Mid West,1.4525769926330139
490,2023-03-23,HSE South West,1.0396778888867886
491,2023-03-23,HSE West and North West,1.3558840100467056
492,2023-03-24,HSE Dublin and Midlands,0.8351590838861622
493,2023-03-24,HSE Dublin and North East,0.36223276909261537
494,2023-03-24,HSE Dublin and South East,0.6384558430551965
495,2023-03-24,HSE Mid West,1.1136423610186437
496,2023-03-24,HSE South West,0.7966363044716951
497,2023-03-24,HSE West and North West,1.474359311895447
498,2023-03-25,HSE Dublin and Midlands,0.7887613570035976
499,2023-03-25,HSE Dublin and North East,0.21902446503274414
500,2023-03-25,HSE Dublin and South East,0.3707162959675335
501,2023-03-25,HSE Mid West,0.7262884963165069
502,2023-03-25,HSE South West,0.5941016507924506
503,2023-03-25,HSE West and North West,0.9872941820728439
504,2023-03-26,HSE Dublin and Midlands,0.9093954468982656
505,2023-03-26,HSE Dublin and North East,0.4548969658372379
506,2023-03-26,HSE Dublin and South East,0.37071629596753347
507,2023-03-26,HSE Mid West,0.6536596466848562
